config_id,min_move_cents,evenly_matched_max_abs_ml,heavy_fav_abs_ml,split,n_bets,wins,losses,pushes,profit,roi
m5-e110-h200,5,110,200,train,12132,6155,5977,0,-27501.78,-2.27
m5-e110-h200,5,110,200,valid,1957,1032,925,0,4865.24,2.49
m5-e110-h250,5,110,250,train,12926,6716,6210,0,-24778.41,-1.92
m5-e110-h250,5,110,250,valid,2137,1166,971,0,6439.5,3.01
m5-e110-h300,5,110,300,train,13191,6915,6276,0,-23934.13,-1.81
m5-e110-h300,5,110,300,valid,2197,1207,990,0,6066.03,2.76
m5-e120-h200,5,120,200,train,12132,6305,5827,0,-24377.48,-2.01
m5-e120-h200,5,120,200,valid,1957,1043,914,0,3425.57,1.75
m5-e120-h250,5,120,250,train,12926,6866,6060,0,-21654.11,-1.68
m5-e120-h250,5,120,250,valid,2137,1177,960,0,4999.83,2.34
m5-e120-h300,5,120,300,train,13191,7065,6126,0,-20809.83,-1.58
m5-e120-h300,5,120,300,valid,2197,1218,979,0,4626.36,2.11
m5-e130-h200,5,130,200,train,12132,6398,5734,0,-23415.02,-1.93
m5-e130-h200,5,130,200,valid,1957,1052,905,0,3183.99,1.63
m5-e130-h250,5,130,250,train,12926,6959,5967,0,-20691.65,-1.6
m5-e130-h250,5,130,250,valid,2137,1186,951,0,4758.25,2.23
m5-e130-h300,5,130,300,train,13191,7158,6033,0,-19847.37,-1.5
m5-e130-h300,5,130,300,valid,2197,1227,970,0,4384.78,2.0
m5-e140-h200,5,140,200,train,12132,6405,5727,0,-28893.63,-2.38
m5-e140-h200,5,140,200,valid,1957,1047,910,0,1686.61,0.86
m5-e140-h250,5,140,250,train,12926,6966,5960,0,-26170.26,-2.02
m5-e140-h250,5,140,250,valid,2137,1181,956,0,3260.87,1.53
m5-e140-h300,5,140,300,train,13191,7165,6026,0,-25325.98,-1.92
m5-e140-h300,5,140,300,valid,2197,1222,975,0,2887.4,1.31
m10-e110-h200,10,110,200,train,10969,5524,5445,0,-25522.61,-2.33
m10-e110-h200,10,110,200,valid,1779,934,845,0,5136.58,2.89
m10-e110-h250,10,110,250,train,11725,6058,5667,0,-22971.14,-1.96
m10-e110-h250,10,110,250,valid,1944,1058,886,0,6743.23,3.47
m10-e110-h300,10,110,300,train,11983,6253,5730,0,-21980.14,-1.83
m10-e110-h300,10,110,300,valid,2002,1098,904,0,6434.05,3.21
m10-e120-h200,10,120,200,train,10969,5650,5319,0,-24761.92,-2.26
m10-e120-h200,10,120,200,valid,1779,947,832,0,4280.83,2.41
m10-e120-h250,10,120,250,train,11725,6184,5541,0,-22210.45,-1.89
m10-e120-h250,10,120,250,valid,1944,1071,873,0,5887.48,3.03
m10-e120-h300,10,120,300,train,11983,6379,5604,0,-21219.45,-1.77
m10-e120-h300,10,120,300,valid,2002,1111,891,0,5578.3,2.79
m10-e130-h200,10,130,200,train,10969,5751,5218,0,-21752.87,-1.98
