config_id,min_merit_score,min_price_delta_cents,big_scam_min_price_delta_cents,evenly_matched_max_abs_ml,split,n_bets,wins,losses,pushes,profit,roi
mm0.5-mp5.0-bs40-e110,0.5,5.0,40,110,train,2061,1070,970,21,1262.59,0.62
mm0.5-mp5.0-bs40-e110,0.5,5.0,40,110,valid,373,183,185,5,-224.03,-0.61
mm0.5-mp5.0-bs40-e120,0.5,5.0,40,120,train,1999,1053,925,21,4033.78,2.04
mm0.5-mp5.0-bs40-e120,0.5,5.0,40,120,valid,369,182,182,5,-73.92,-0.2
mm0.5-mp5.0-bs40-e130,0.5,5.0,40,130,train,1963,1037,905,21,4565.15,2.35
mm0.5-mp5.0-bs40-e130,0.5,5.0,40,130,valid,364,174,185,5,-981.38,-2.73
mm0.5-mp5.0-bs40-e140,0.5,5.0,40,140,train,1945,1013,911,21,2002.82,1.04
mm0.5-mp5.0-bs40-e140,0.5,5.0,40,140,valid,364,174,185,5,-1092.13,-3.04
mm0.5-mp5.0-bs60-e110,0.5,5.0,60,110,train,1982,1032,929,21,1431.76,0.73
mm0.5-mp5.0-bs60-e110,0.5,5.0,60,110,valid,352,173,174,5,-298.73,-0.86
mm0.5-mp5.0-bs60-e120,0.5,5.0,60,120,train,1920,1015,884,21,4202.95,2.21
mm0.5-mp5.0-bs60-e120,0.5,5.0,60,120,valid,348,172,171,5,-148.62,-0.43
mm0.5-mp5.0-bs60-e130,0.5,5.0,60,130,train,1884,999,864,21,4734.32,2.54
mm0.5-mp5.0-bs60-e130,0.5,5.0,60,130,valid,343,164,174,5,-1056.08,-3.12
mm0.5-mp5.0-bs60-e140,0.5,5.0,60,140,train,1866,975,870,21,2171.99,1.18
mm0.5-mp5.0-bs60-e140,0.5,5.0,60,140,valid,343,164,174,5,-1166.83,-3.45
mm0.5-mp5.0-bs80-e110,0.5,5.0,80,110,train,1921,1005,895,21,2351.07,1.24
mm0.5-mp5.0-bs80-e110,0.5,5.0,80,110,valid,340,169,166,5,-51.84,-0.15
mm0.5-mp5.0-bs80-e120,0.5,5.0,80,120,train,1859,988,850,21,5122.26,2.79
mm0.5-mp5.0-bs80-e120,0.5,5.0,80,120,valid,336,168,163,5,98.27,0.3
mm0.5-mp5.0-bs80-e130,0.5,5.0,80,130,train,1823,972,830,21,5653.63,3.14
mm0.5-mp5.0-bs80-e130,0.5,5.0,80,130,valid,331,160,166,5,-809.19,-2.48
mm0.5-mp5.0-bs80-e140,0.5,5.0,80,140,train,1805,948,836,21,3091.3,1.73
mm0.5-mp5.0-bs80-e140,0.5,5.0,80,140,valid,331,160,166,5,-919.94,-2.82
mm0.5-mp5.0-bs100-e110,0.5,5.0,100,110,train,1871,983,867,21,2813.08,1.52
mm0.5-mp5.0-bs100-e110,0.5,5.0,100,110,valid,331,165,161,5,20.5,0.06
mm0.5-mp5.0-bs100-e120,0.5,5.0,100,120,train,1809,966,822,21,5584.27,3.12
mm0.5-mp5.0-bs100-e120,0.5,5.0,100,120,valid,327,164,158,5,170.61,0.53
mm0.5-mp5.0-bs100-e130,0.5,5.0,100,130,train,1773,950,802,21,6115.64,3.49
mm0.5-mp5.0-bs100-e130,0.5,5.0,100,130,valid,322,156,161,5,-736.85,-2.32
mm0.5-mp5.0-bs100-e140,0.5,5.0,100,140,train,1755,926,808,21,3553.31,2.05
mm0.5-mp5.0-bs100-e140,0.5,5.0,100,140,valid,322,156,161,5,-847.6,-2.67
mm0.5-mp10.0-bs40-e110,0.5,10.0,40,110,train,2024,1051,952,21,968.29,0.48
mm0.5-mp10.0-bs40-e110,0.5,10.0,40,110,valid,371,183,183,5,-24.03,-0.07
mm0.5-mp10.0-bs40-e120,0.5,10.0,40,120,train,1964,1035,908,21,3824.92,1.97
mm0.5-mp10.0-bs40-e120,0.5,10.0,40,120,valid,367,182,180,5,126.08,0.35
mm0.5-mp10.0-bs40-e130,0.5,10.0,40,130,train,1930,1020,889,21,4378.29,2.29
mm0.5-mp10.0-bs40-e130,0.5,10.0,40,130,valid,362,174,183,5,-781.38,-2.19
mm0.5-mp10.0-bs40-e140,0.5,10.0,40,140,train,1914,997,896,21,1783.53,0.94
mm0.5-mp10.0-bs40-e140,0.5,10.0,40,140,valid,362,174,183,5,-892.13,-2.5
mm0.5-mp10.0-bs60-e110,0.5,10.0,60,110,train,1945,1013,911,21,1137.46,0.59
mm0.5-mp10.0-bs60-e110,0.5,10.0,60,110,valid,350,173,172,5,-98.73,-0.29
mm0.5-mp10.0-bs60-e120,0.5,10.0,60,120,train,1885,997,867,21,3994.09,2.14
mm0.5-mp10.0-bs60-e120,0.5,10.0,60,120,valid,346,172,169,5,51.38,0.15
mm0.5-mp10.0-bs60-e130,0.5,10.0,60,130,train,1851,982,848,21,4547.46,2.48
mm0.5-mp10.0-bs60-e130,0.5,10.0,60,130,valid,341,164,172,5,-856.08,-2.55
mm0.5-mp10.0-bs60-e140,0.5,10.0,60,140,train,1835,959,855,21,1952.7,1.08
mm0.5-mp10.0-bs60-e140,0.5,10.0,60,140,valid,341,164,172,5,-966.83,-2.88
mm0.5-mp10.0-bs80-e110,0.5,10.0,80,110,train,1884,986,877,21,2056.77,1.1
mm0.5-mp10.0-bs80-e110,0.5,10.0,80,110,valid,338,169,164,5,148.16,0.44
mm0.5-mp10.0-bs80-e120,0.5,10.0,80,120,train,1824,970,833,21,4913.4,2.73
mm0.5-mp10.0-bs80-e120,0.5,10.0,80,120,valid,334,168,161,5,298.27,0.91
mm0.5-mp10.0-bs80-e130,0.5,10.0,80,130,train,1790,955,814,21,5466.77,3.09
mm0.5-mp10.0-bs80-e130,0.5,10.0,80,130,valid,329,160,164,5,-609.19,-1.88
mm0.5-mp10.0-bs80-e140,0.5,10.0,80,140,train,1774,932,821,21,2872.01,1.64
mm0.5-mp10.0-bs80-e140,0.5,10.0,80,140,valid,329,160,164,5,-719.94,-2.22
mm0.5-mp10.0-bs100-e110,0.5,10.0,100,110,train,1834,964,849,21,2518.78,1.39
mm0.5-mp10.0-bs100-e110,0.5,10.0,100,110,valid,329,165,159,5,220.5,0.68
mm0.5-mp10.0-bs100-e120,0.5,10.0,100,120,train,1774,948,805,21,5375.41,3.07
mm0.5-mp10.0-bs100-e120,0.5,10.0,100,120,valid,325,164,156,5,370.61,1.16
mm0.5-mp10.0-bs100-e130,0.5,10.0,100,130,train,1740,933,786,21,5928.78,3.45
mm0.5-mp10.0-bs100-e130,0.5,10.0,100,130,valid,320,156,159,5,-536.85,-1.7
