ts_utc,label,requests_used_total,requests_remaining,month
2026-08-01T02:50:00Z,open,3,497,2026-08
2026-08-01T14:53:25Z,open,6,494,2026-08
2026-08-01T16:26:31Z,midday,9,491,2026-08
2026-08-01T21:10:36Z,pregame,12,488,2026-08
2026-08-02T14:53:58Z,open,15,485,2026-08
2026-08-02T16:26:50Z,midday,18,482,2026-08
2026-08-02T21:10:55Z,pregame,21,479,2026-08
2026-08-03T15:31:03Z,open,24,476,2026-08
2026-08-03T16:54:56Z,midday,27,473,2026-08
2026-08-03T21:16:06Z,pregame,30,470,2026-08
2026-08-04T15:23:00Z,open,33,467,2026-08
