snapshot_ts_utc,snapshot_label,odds_event_id,game_pk,game_date_et,commence_time_utc,home_team,away_team,bookmaker,market,outcome,point,price_american,price_decimal
2026-08-01T02:50:00Z,open,84ba20fe8604de6c1825c09817cc4123,824164.0,2026-07-31,2026-08-01T00:16:00Z,Houston Astros,Texas Rangers,fanduel,spreads,Houston Astros,-5.5,148,2.48
2026-08-01T02:50:00Z,open,84ba20fe8604de6c1825c09817cc4123,824164.0,2026-07-31,2026-08-01T00:16:00Z,Houston Astros,Texas Rangers,fanduel,spreads,Texas Rangers,5.5,-200,1.5
2026-08-01T02:50:00Z,open,84ba20fe8604de6c1825c09817cc4123,824164.0,2026-07-31,2026-08-01T00:16:00Z,Houston Astros,Texas Rangers,fanduel,totals,Over,10.5,100,2.0
2026-08-01T02:50:00Z,open,84ba20fe8604de6c1825c09817cc4123,824164.0,2026-07-31,2026-08-01T00:16:00Z,Houston Astros,Texas Rangers,fanduel,totals,Under,10.5,-132,1.7576
2026-08-01T02:50:00Z,open,84ba20fe8604de6c1825c09817cc4123,824164.0,2026-07-31,2026-08-01T00:16:00Z,Houston Astros,Texas Rangers,mybookieag,spreads,Houston Astros,-5.5,165,2.65
2026-08-01T02:50:00Z,open,84ba20fe8604de6c1825c09817cc4123,824164.0,2026-07-31,2026-08-01T00:16:00Z,Houston Astros,Texas Rangers,mybookieag,spreads,Texas Rangers,5.5,-250,1.4
2026-08-01T02:50:00Z,open,84ba20fe8604de6c1825c09817cc4123,824164.0,2026-07-31,2026-08-01T00:16:00Z,Houston Astros,Texas Rangers,mybookieag,totals,Over,10.0,-143,1.6993
2026-08-01T02:50:00Z,open,84ba20fe8604de6c1825c09817cc4123,824164.0,2026-07-31,2026-08-01T00:16:00Z,Houston Astros,Texas Rangers,mybookieag,totals,Under,10.0,105,2.05
2026-08-01T02:50:00Z,open,84ba20fe8604de6c1825c09817cc4123,824164.0,2026-07-31,2026-08-01T00:16:00Z,Houston Astros,Texas Rangers,betmgm,h2h,Houston Astros,,-10000,1.01
2026-08-01T02:50:00Z,open,84ba20fe8604de6c1825c09817cc4123,824164.0,2026-07-31,2026-08-01T00:16:00Z,Houston Astros,Texas Rangers,betmgm,h2h,Texas Rangers,,3300,34.0
