pick_id,created_ts_utc,game_date_et,game_pk,odds_event_id,matchup,start_time_et,day_type,slot_type,rule_id,market,selection,line,price_american,price_decimal,stake,open_price,latest_price,movement_cents,rationale,config_hash,status,settled_ts_utc,final_score,profit
824485-rl-20260801,2026-08-01T21:10:41Z,2026-08-01,824485,4cf22ff99815959994e2c4f8662d97bf,Pittsburgh Pirates @ Cincinnati Reds,2026-08-01 18:40,P,P,R4,rl,Cincinnati Reds,1.5,-160.0,1.625,100,-115.0,-120.0,5.0,P day / P slot; fav ML shortened -115->-120; evenly matched (fav -120) -> dog +1.5,6f0d0924d4,loss,2026-08-02T14:53:58Z,Pittsburgh Pirates 4 - Cincinnati Reds 1,-100.0
824808-ml-20260801,2026-08-01T21:10:41Z,2026-08-01,824808,8ad8229352651cf1b573f9ee834b57ac,Philadelphia Phillies @ Baltimore Orioles,2026-08-01 19:05,P,P,R3_form,ml,Baltimore Orioles,,128.0,2.28,100,-140.5,-143.0,2.5,P day / P slot; no movement; last-10 form 5-2 (home-away wins),6f0d0924d4,loss,2026-08-02T14:53:58Z,Philadelphia Phillies 5 - Baltimore Orioles 0,-100.0
824162-ml-20260801,2026-08-01T21:10:41Z,2026-08-01,824162,dae6d7e042dc64a28ea484408927af8c,Texas Rangers @ Houston Astros,2026-08-01 19:10,P,P,R3_form,ml,Houston Astros,,110.0,2.1,100,-125.0,-124.0,-1.0,P day / P slot; no movement; last-10 form 9-5 (home-away wins),6f0d0924d4,win,2026-08-02T14:53:58Z,Texas Rangers 4 - Houston Astros 5,110.0
824405-ml-20260801,2026-08-01T21:10:41Z,2026-08-01,824405,65f625f15ac20a0c9dd7905ac686d7aa,Arizona Diamondbacks @ Cleveland Guardians,2026-08-01 19:15,P,P,R3_form,ml,Arizona Diamondbacks,,150.0,2.5,100,-173.0,-175.0,2.0,P day / P slot; no movement; last-10 form 3-7 (home-away wins),6f0d0924d4,win,2026-08-02T14:53:58Z,Arizona Diamondbacks 12 - Cleveland Guardians 8,150.0
824890-ml-20260801,2026-08-01T21:10:41Z,2026-08-01,824890,07b62357ba8988490469a685727ecf38,Washington Nationals @ Atlanta Braves,2026-08-01 19:15,P,P,R3,ml,Atlanta Braves,,-165.0,1.6061,100,-178.0,-165.0,-13.0,P day / P slot; fav ML drifted -178->-165,6f0d0924d4,win,2026-08-02T14:53:58Z,Washington Nationals 3 - Atlanta Braves 8,60.61
824649-rl-20260801,2026-08-01T21:10:41Z,2026-08-01,824649,1a1c1a4c350d1fb71d29920db55c19f5,New York Yankees @ Chicago Cubs,2026-08-01 19:15,P,P,R4,rl,New York Yankees,1.5,176.0,2.76,100,-108.0,-115.0,7.0,P day / P slot; fav ML shortened -108->-115; evenly matched (fav -115) -> dog +1.5,6f0d0924d4,loss,2026-08-02T14:53:58Z,New York Yankees 2 - Chicago Cubs 5,-100.0
824807-ml-20260802,2026-08-02T14:55:04Z,2026-08-02,824807,0a83565a7c1b5059b188a176bf7ef21f,Philadelphia Phillies @ Baltimore Orioles,2026-08-02 13:35,P,P,R3_form,ml,Baltimore Orioles,,118.0,2.18,100,-134.0,-134.0,0.0,P day / P slot; no movement; last-10 form 5-2 (home-away wins),6f0d0924d4,loss,2026-08-03T15:31:03Z,Philadelphia Phillies 8 - Baltimore Orioles 0,-100.0
824891-ml-20260802,2026-08-02T14:55:04Z,2026-08-02,824891,279531c847530b5f8dc9fa88594748e6,Washington Nationals @ Atlanta Braves,2026-08-02 13:35,P,P,R3_form,ml,Atlanta Braves,,-121.0,1.8264,100,-121.0,-121.0,0.0,P day / P slot; no movement; last-10 form 7-4 (home-away wins),6f0d0924d4,win,2026-08-03T15:31:03Z,Washington Nationals 2 - Atlanta Braves 4,82.64
822783-ml-20260802,2026-08-02T14:55:04Z,2026-08-02,822783,2ee28b25d57aa155a35d9706065b4963,St. Louis Cardinals @ Toronto Blue Jays,2026-08-02 13:37,P,P,R3_form,ml,Toronto Blue Jays,,-123.0,1.813,100,-123.0,-123.0,0.0,P day / P slot; no movement; last-10 form 6-2 (home-away wins),6f0d0924d4,loss,2026-08-03T15:31:03Z,St. Louis Cardinals 5 - Toronto Blue Jays 1,-100.0
824404-ml-20260802,2026-08-02T14:55:04Z,2026-08-02,824404,93093742f035808566b727b495407df8,Arizona Diamondbacks @ Cleveland Guardians,2026-08-02 13:40,P,P,R3_form,ml,Arizona Diamondbacks,,148.0,2.48,100,-173.0,-173.0,0.0,P day / P slot; no movement; last-10 form 2-7 (home-away wins),6f0d0924d4,loss,2026-08-03T15:31:03Z,Arizona Diamondbacks 0 - Cleveland Guardians 5,-100.0
824483-ml-20260802,2026-08-02T14:55:04Z,2026-08-02,824483,65c026b0a2fdad67a6ebb83ff414a011,Pittsburgh Pirates @ Cincinnati Reds,2026-08-02 13:40,P,P,R3_form,ml,Cincinnati Reds,,-138.0,1.7246,100,-138.0,-138.0,0.0,P day / P slot; no movement; last-10 form 6-3 (home-away wins),6f0d0924d4,win,2026-08-03T15:31:03Z,Pittsburgh Pirates 2 - Cincinnati Reds 10,72.46
822943-ml-20260802,2026-08-02T14:55:04Z,2026-08-02,822943,47af60aedd60c2f453d5618c98f9a180,Chicago White Sox @ Tampa Bay Rays,2026-08-02 13:40,P,P,R3_series,ml,Tampa Bay Rays,,-148.0,1.6757,100,-148.0,-148.0,0.0,P day / P slot; no movement; season series 4-1 (home-away),6f0d0924d4,loss,2026-08-03T15:31:03Z,Chicago White Sox 9 - Tampa Bay Rays 1,-100.0
823919-ml-20260802,2026-08-02T21:11:01Z,2026-08-02,823919,9075e1d97a68d5244fa70607c57e266e,Boston Red Sox @ Los Angeles Dodgers,2026-08-02 19:20,P,P,R3_series,ml,Boston Red Sox,,155.0,2.55,100,-181.0,-181.0,0.0,P day / P slot; no movement; season series 0-2 (home-away),6f0d0924d4,win,2026-08-03T15:31:03Z,Boston Red Sox 8 - Los Angeles Dodgers 4,155.0
823431-ml-20260803,2026-08-03T21:16:10Z,2026-08-03,823431,d5f05941c82f5ea7de7ee32d879c0d59,Washington Nationals @ Philadelphia Phillies,2026-08-03 18:40,V,V,R3,ml,Washington Nationals,,130.0,2.3,100,-160.0,-150.0,-10.0,V day / V slot; fav ML drifted -160->-150,6f0d0924d4,loss,2026-08-04T15:22:59Z,Washington Nationals 3 - Philadelphia Phillies 6,-100.0
823520-rl-20260803,2026-08-03T21:16:10Z,2026-08-03,823520,74ae10226cb75552e9cb91f8488d161e,St. Louis Cardinals @ New York Yankees,2026-08-03 19:05,V,V,R5,rl,New York Yankees,-1.5,-106.0,1.9434,100,-216.0,-220.0,4.0,V day / V slot; no movement; last-10 form 6-3 (home-away wins); V slot favorite -> fav -1.5; first meeting (ML/RL only),6f0d0924d4,loss,2026-08-04T15:22:59Z,St. Louis Cardinals 13 - New York Yankees 7,-100.0
823757-ml-20260803,2026-08-03T21:16:10Z,2026-08-03,823757,de37e0dedc65578fdd76ba2fe3519038,Pittsburgh Pirates @ Milwaukee Brewers,2026-08-03 19:40,V,V,R3,ml,Pittsburgh Pirates,,129.0,2.29,100,-142.0,-151.0,9.0,V day / V slot; fav ML shortened -142->-151,6f0d0924d4,win,2026-08-04T15:22:59Z,Pittsburgh Pirates 4 - Milwaukee Brewers 3,129.0
824160-rl-20260803,2026-08-03T21:16:10Z,2026-08-03,824160,dce673f29a2a1bdfc8ad0e51de72a21d,Toronto Blue Jays @ Houston Astros,2026-08-03 20:10,V,V,R5,rl,Houston Astros,-1.5,150.0,2.5,100,-127.0,-130.0,3.0,V day / V slot; no movement; last-10 form 9-6 (home-away wins); V slot favorite -> fav -1.5,6f0d0924d4,loss,2026-08-04T15:22:59Z,Toronto Blue Jays 3 - Houston Astros 1,-100.0
824324-ml-20260803,2026-08-03T21:16:10Z,2026-08-03,824324,ec933bb866229ec8d1ed9b978c363175,Tampa Bay Rays @ Colorado Rockies,2026-08-03 20:40,V,V,R3,ml,Colorado Rockies,,154.0,2.54,100,-168.0,-182.0,14.0,V day / V slot; fav ML shortened -168->-182; first meeting (ML/RL only),6f0d0924d4,loss,2026-08-04T15:22:59Z,Tampa Bay Rays 13 - Colorado Rockies 9,-100.0
824805-rl-20260804,2026-08-04T21:18:03Z,2026-08-04,824805,fadc6a3080af39afc5de586f3e2945a3,Los Angeles Angels @ Baltimore Orioles,2026-08-04 18:35,V,V,R5,rl,Baltimore Orioles,-1.5,135.0,2.35,100,-150.0,-148.0,-2.0,V day / V slot; no movement; last-10 form 5-2 (home-away wins); V slot favorite -> fav -1.5,6f0d0924d4,win,2026-08-05T15:21:09Z,Los Angeles Angels 1 - Baltimore Orioles 3,135.0
824403-ml-20260804,2026-08-04T21:18:03Z,2026-08-04,824403,c242db575b7b666cd549f31569266d89,New York Mets @ Cleveland Guardians,2026-08-04 18:40,V,V,R3,ml,New York Mets,,117.0,2.17,100,-153.0,-130.0,-23.0,V day / V slot; fav ML drifted -153->-130; first meeting (ML/RL only),6f0d0924d4,win,2026-08-05T15:21:09Z,New York Mets 6 - Cleveland Guardians 2,117.0
824484-rl-20260804,2026-08-04T21:18:03Z,2026-08-04,824484,f79dec5ded280dbf4ef07225e03ccd7e,Athletics @ Cincinnati Reds,2026-08-04 18:40,V,V,R5,rl,Cincinnati Reds,-1.5,148.0,2.48,100,-130.0,-132.0,2.0,V day / V slot; no movement; last-10 form 6-2 (home-away wins); V slot favorite -> fav -1.5; first meeting (ML/RL only),6f0d0924d4,loss,2026-08-05T15:21:09Z,Athletics 4 - Cincinnati Reds 5,-100.0
823432-ml-20260804,2026-08-04T21:18:03Z,2026-08-04,823432,9d696e41666e6fc76dc4b83ced2e8996,Washington Nationals @ Philadelphia Phillies,2026-08-04 18:40,V,V,R3,ml,Washington Nationals,,265.0,3.65,100,-275.0,-315.0,40.0,V day / V slot; fav ML shortened -275->-315,6f0d0924d4,loss,2026-08-05T15:21:09Z,Washington Nationals 0 - Philadelphia Phillies 5,-100.0
