ts_utc,game_date_et,run_label,kind,note
2026-08-27T00:17:25Z,2026-08-26,pregame,late_run,"late run: pregame started 207 min after its 16:50 ET schedule; started games were skipped, slate reduced"
2026-08-27T23:52:39Z,2026-08-27,morning,late_run,"late run: morning started 557 min after its 10:35 ET schedule; started games were skipped, slate reduced"
2026-08-28T23:38:23Z,2026-08-28,morning,late_run,"late run: morning started 543 min after its 10:35 ET schedule; started games were skipped, slate reduced"
2026-08-29T02:55:45Z,2026-08-28,pregame,late_run,"late run: pregame started 365 min after its 16:50 ET schedule; started games were skipped, slate reduced"
2026-08-29T17:48:06Z,2026-08-29,morning,late_run,"late run: morning started 193 min after its 10:35 ET schedule; started games were skipped, slate reduced"
2026-08-29T22:49:29Z,2026-08-29,pregame,late_run,"late run: pregame started 119 min after its 16:50 ET schedule; started games were skipped, slate reduced"
2026-08-30T18:09:20Z,2026-08-30,morning,late_run,"late run: morning started 214 min after its 10:35 ET schedule; started games were skipped, slate reduced"
2026-08-30T22:57:12Z,2026-08-30,pregame,late_run,"late run: pregame started 127 min after its 16:50 ET schedule; started games were skipped, slate reduced"
2026-08-31T20:17:12Z,2026-08-31,morning,late_run,"late run: morning started 342 min after its 10:35 ET schedule; started games were skipped, slate reduced"
2026-09-01T00:07:40Z,2026-08-31,pregame,late_run,"late run: pregame started 197 min after its 16:50 ET schedule; started games were skipped, slate reduced"
2026-09-01T17:55:04Z,2026-09-01,morning,late_run,"late run: morning started 200 min after its 10:35 ET schedule; started games were skipped, slate reduced"
2026-09-01T22:51:17Z,2026-09-01,pregame,late_run,"late run: pregame started 121 min after its 16:50 ET schedule; started games were skipped, slate reduced"
2026-09-02T17:59:47Z,2026-09-02,morning,late_run,"late run: morning started 204 min after its 10:35 ET schedule; started games were skipped, slate reduced"
2026-09-02T22:52:37Z,2026-09-02,pregame,late_run,"late run: pregame started 122 min after its 16:50 ET schedule; started games were skipped, slate reduced"
2026-09-03T17:58:24Z,2026-09-03,morning,late_run,"late run: morning started 203 min after its 10:35 ET schedule; started games were skipped, slate reduced"
2026-09-03T22:51:15Z,2026-09-03,pregame,late_run,"late run: pregame started 121 min after its 16:50 ET schedule; started games were skipped, slate reduced"
2026-09-04T17:43:13Z,2026-09-04,morning,late_run,"late run: morning started 188 min after its 10:35 ET schedule; started games were skipped, slate reduced"
2026-09-04T22:34:35Z,2026-09-04,pregame,late_run,"late run: pregame started 104 min after its 16:50 ET schedule; started games were skipped, slate reduced"
2026-09-05T16:54:26Z,2026-09-05,morning,late_run,"late run: morning started 139 min after its 10:35 ET schedule; started games were skipped, slate reduced"
2026-09-05T22:22:10Z,2026-09-05,pregame,late_run,"late run: pregame started 92 min after its 16:50 ET schedule; started games were skipped, slate reduced"
2026-09-06T17:16:06Z,2026-09-06,morning,late_run,"late run: morning started 161 min after its 10:35 ET schedule; started games were skipped, slate reduced"
2026-09-06T22:27:10Z,2026-09-06,pregame,late_run,"late run: pregame started 97 min after its 16:50 ET schedule; started games were skipped, slate reduced"
2026-09-07T18:49:14Z,2026-09-07,morning,late_run,"late run: morning started 254 min after its 10:35 ET schedule; started games were skipped, slate reduced"
2026-09-07T23:02:20Z,2026-09-07,pregame,late_run,"late run: pregame started 132 min after its 16:50 ET schedule; started games were skipped, slate reduced"
2026-09-08T18:00:44Z,2026-09-08,morning,late_run,"late run: morning started 205 min after its 10:35 ET schedule; started games were skipped, slate reduced"
2026-09-08T23:00:41Z,2026-09-08,pregame,late_run,"late run: pregame started 130 min after its 16:50 ET schedule; started games were skipped, slate reduced"
2026-09-09T17:55:50Z,2026-09-09,morning,late_run,"late run: morning started 200 min after its 10:35 ET schedule; started games were skipped, slate reduced"
2026-09-09T22:47:41Z,2026-09-09,pregame,late_run,"late run: pregame started 117 min after its 16:50 ET schedule; started games were skipped, slate reduced"
2026-09-10T17:48:05Z,2026-09-10,morning,late_run,"late run: morning started 193 min after its 10:35 ET schedule; started games were skipped, slate reduced"
