pick_id,strategy_id,created_ts_utc,game_date_et,game_pk,odds_event_id,matchup,start_time_et,day_type,slot_type,rule_id,market,selection,line,price_american,price_decimal,stake,open_price,latest_price,movement_cents,rationale,config_hash,status,settled_ts_utc,final_score,profit,close_price,clv_cents
pv_orig-822783-total-20260802,pv_orig,2026-08-19T22:31:36Z,2026-08-02,822783,,St. Louis Cardinals @ Toronto Blue Jays,2026-08-02 13:37,V,V,O3_totals,total,under,8.5,100.0,2.0,100.0,9.0,8.5,-0.5,"totals: line moved 9.0->8.5, historical support 10.0 contradicts the move -> under",3fff5be8ec,win,2026-08-19T22:31:43Z,St. Louis Cardinals 5 - Toronto Blue Jays 1,100.0,,
pv_orig-823996-total-20260802,pv_orig,2026-08-19T22:31:37Z,2026-08-02,823996,,Milwaukee Brewers @ Los Angeles Angels,2026-08-02 15:15,V,V,O3_totals,total,under,2.5,130.5,2.305,100.0,7.5,2.5,-5.0,"totals: line moved 7.5->2.5, historical support 4.0 contradicts the move -> under",3fff5be8ec,loss,2026-08-19T22:31:43Z,Milwaukee Brewers 0 - Los Angeles Angels 3,-100.0,,
pv_orig-824163-total-20260802,pv_orig,2026-08-19T22:31:37Z,2026-08-02,824163,,Texas Rangers @ Houston Astros,2026-08-02 14:10,V,V,O3_totals,total,over,10.5,1360.0,14.6,100.0,8.5,10.5,2.0,"totals: line moved 8.5->10.5, historical support 9.0 contradicts the move -> over",3fff5be8ec,loss,2026-08-19T22:31:43Z,Texas Rangers 3 - Houston Astros 7,-100.0,,
pv_orig-824323-total-20260802,pv_orig,2026-08-19T22:31:37Z,2026-08-02,824323,,Kansas City Royals @ Colorado Rockies,2026-08-02 15:10,V,V,O3_totals,total,under,10.5,-112.5,1.8889,100.0,11.5,10.5,-1.0,"totals: line moved 11.5->10.5, historical support 18.0 contradicts the move -> under",3fff5be8ec,win,2026-08-19T22:31:43Z,Kansas City Royals 1 - Colorado Rockies 8,88.89,,
pv_orig-824648-total-20260802,pv_orig,2026-08-19T22:31:37Z,2026-08-02,824648,,New York Yankees @ Chicago Cubs,2026-08-02 14:20,V,V,O3_totals,total,under,3.5,-1115.0,1.0897,100.0,6.5,3.5,-3.0,"totals: line moved 6.5->3.5, historical support 9.0 contradicts the move -> under",3fff5be8ec,win,2026-08-19T22:31:43Z,New York Yankees 2 - Chicago Cubs 1,8.97,,
pv_orig-824971-total-20260802,pv_orig,2026-08-19T22:31:37Z,2026-08-02,824971,,Detroit Tigers @ Athletics,2026-08-02 16:05,V,V,O3_totals,total,under,9.5,-116.0,1.8621,100.0,11.0,9.5,-1.5,"totals: line moved 11.0->9.5, historical support 14.0 contradicts the move -> under",3fff5be8ec,loss,2026-08-19T22:31:43Z,Detroit Tigers 11 - Athletics 0,-100.0,,
pv_orig-823517-total-20260804,pv_orig,2026-08-19T22:31:37Z,2026-08-04,823517,,St. Louis Cardinals @ New York Yankees,2026-08-04 19:05,V,V,O3_totals,total,under,8.0,-105.0,1.9524,100.0,8.5,8.0,-0.5,"totals: line moved 8.5->8.0, historical support 29.3 contradicts the move -> under",3fff5be8ec,win,2026-08-19T22:31:43Z,St. Louis Cardinals 0 - New York Yankees 2,95.24,,
pv_orig-823190-total-20260809,pv_orig,2026-08-19T22:31:39Z,2026-08-09,823190,,Detroit Tigers @ San Francisco Giants,2026-08-09 16:05,V,V,O3_totals,total,under,3.5,-111.5,1.8969,100.0,7.5,3.5,-4.0,"totals: line moved 7.5->3.5, historical support 30.3 contradicts the move -> under",3fff5be8ec,loss,2026-08-19T22:31:43Z,Detroit Tigers 3 - San Francisco Giants 1,-100.0,,
pv_orig-823019-total-20260811,pv_orig,2026-08-19T22:31:40Z,2026-08-11,823019,,Philadelphia Phillies @ St. Louis Cardinals,2026-08-11 19:45,V,V,O3_totals,total,under,7.5,-105.0,1.9524,100.0,8.0,7.5,-0.5,"totals: line moved 8.0->7.5, historical support 37.0 contradicts the move -> under",3fff5be8ec,win,2026-08-19T22:31:43Z,Philadelphia Phillies 0 - St. Louis Cardinals 2,95.24,,
pv_orig-822779-ml-20260812,pv_orig,2026-08-19T22:31:40Z,2026-08-12,822779,275215c7903b36c511b863b276f1010b,Boston Red Sox @ Toronto Blue Jays,2026-08-12 19:07,HYBRID,V,O1_big_scam,ml,Boston Red Sox,,-132.0,1.7576,100.0,-119.0,-132.0,-21.5,HYBRID day / V slot; Wednesday 2nd-half big scam,3fff5be8ec,loss,2026-08-19T22:31:43Z,Boston Red Sox 4 - Toronto Blue Jays 6,-100.0,,
